NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT05271539,Intravitreal Ranibizumab Versus Its Combination With Dexamethasone in The Treatment of Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT05271539,COMPLETED,Diabetic Macular Edema,DRUG: Lucentis alone group|DRUG: Lucentis dexamethasone group,"Central foveal thickness, Central foveal thickness in microns measured by OCT, 6 months after the first injection|BCVA (Decimal), Best corrected visual acuity measured on Snellen chart in Decimal form, 6 months after the first injection|The number of injections, The total number of injections in each Arm group, over 6 months duration of the study",Cairo University,42,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-07-01
NCT01003691,"Safety And Tolerability Study Of RN6G In Subjects With Advanced Dry, Age-Related Macular Degeneration Including Geographic Atrophy",https://clinicaltrials.gov/study/NCT01003691,COMPLETED,Age-Related Maculopathy|Age-Related Maculopathies|Eye Diseases|Retinal Degeneration|Macular Degeneration,BIOLOGICAL: RN6G|BIOLOGICAL: Placebo,"Number of Participants With Toxicity or Intolerable Dose Criteria, The dose was considered intolerable if a participant developed either ocular toxicity or other toxicity as per Common Terminology Criteria for Adverse Events (CTCAE) or based on the investigator's discretion. Ocular toxicity included: Grade \>= 3 (retinopathy, retinal detachment, cataract formation, optic disk edema, keratitis, vitreous hemorrhage and uveitis) and acute vision loss of greater than 3 lines of vision up to and including 140 days after the first dose. Other toxicity included serious adverse event (SAE), Grade \>= 3 (increased liver transaminases, encephalopathy/leukoencephalopathy, diarrhea, enteritis or nausea, prolongation of QT interval \[Fridericia's correction\]), Grade \>=2 (central nervous system hemorrhage, decreased total leukocyte count, increased serum creatinine) and thrombocytopenia \<100\*10 9 /liter., Baseline up to Day 304/End of Treatment (ET)|Number of Participants With Treatment Emergent Adverse Events (TEAEs) Categorized by Severity, AE was any untoward medical occurrence in a participant who received study drug without regard to possibility of causal relationship. Treatment-emergent are events between first dose of study drug and up to Day 304/ET that were absent before treatment or that worsened relative to pretreatment state. AE was assessed according to severity; Grade 1 (mild; asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated), Grade 2 (moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental activities of daily living \[ADL\]), Grade 3 (severe or medically significant but not immediately life-threatening; hospitalization or prolongation of hospitalization indicated; disabling; limiting self-care ADL), Grade 4 (life-threatening consequences; urgent intervention indicated) and Grade 5 (death related to AE)., Baseline up to Day 304/ET|Number of Participants With Treatment Emergent Adverse Events (TEAEs): All Causalities and TEAEs Categorized by Causal Relationship to Study Drug, All causalities AE was any untoward medical occurrence in participant who received study drug without regard to causal relationship. Drug-related AE was any untoward medical occurrence attributed to study drug in a participant who received study drug. Treatment-emergent are events between first dose of study drug and up to Day 304/ET that were absent before treatment or that worsened relative to pretreatment state. All causalities and drug-related AEs reported wherein drug-related AEs were reported as ocular and non-ocular AEs. Ocular AEs were events which were localized in the ocular region and non-ocular AEs were systemic events which were not localized but occurred throughout the systemic circulation., Baseline up to Day 304/ET|Number of Participants With Ocular Treatment Emergent Adverse Events (TEAEs) Categorized by Severity, AE was any untoward medical occurrence in a participant who received study drug without regard to possibility of causal relationship. Treatment-emergent are events between first dose of study drug and up to Day 304/ET that were absent before treatment or that worsened relative to pretreatment state. Ocular AE were events which were localized in the ocular region and was assessed according to severity; Grade 1 (mild; asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated), Grade 2 (moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL), Grade 3 (severe or medically significant but not immediately life-threatening; hospitalization or prolongation of hospitalization indicated; disabling; limiting self-care ADL), Grade 4 (life-threatening consequences; urgent intervention indicated) and Grade 5 (death related to AE)., Baseline up to Day 304/ET|Number of Participants With Ocular Treatment Emergent Adverse Events (TEAEs) Categorized by Causal Relationship to Study Drug, AE was any untoward medical occurrence in participant who received study drug without regard to causal relationship and drug-related AE was any untoward medical occurrence attributed to study drug in a participant who received study drug. Treatment-emergent are events between first dose of study drug and up to Day 304/ET that were absent before treatment or that worsened relative to pretreatment state. Ocular AEs were events which were localized in the ocular region. Ocular AEs reported as related and non-related to study drug., Baseline up to Day 304/ET|Number of Participants With Systemic Treatment Emergent Adverse Events (TEAEs) Categorized by Severity, AE was any untoward medical occurrence in a participant who received study drug without regard to possibility of causal relationship. Treatment-emergent are events between first dose of study drug and up to Day 304/ET that were absent before treatment or that worsened relative to pretreatment state. Systemic AE were events which were not localized but occurred throughout the systemic circulation and was assessed according to severity; Grade 1 (mild; asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated), Grade 2 (moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL), Grade 3 (severe or medically significant but not immediately life-threatening; hospitalization or prolongation of hospitalization indicated; disabling; limiting self-care ADL), Grade 4 (life-threatening consequences; urgent intervention indicated) and Grade 5 (death related to AE)., Baseline up to Day 304/ET|Number of Participants With Systemic Treatment Emergent Adverse Events (TEAEs) Categorized by Causal Relationship to Study Drug, AE was any untoward medical occurrence in participant who received study drug without regard to causal relationship and drug-related AE was any untoward medical occurrence attributed to study drug in a participant who received study drug. Treatment-emergent are events between first dose of study drug and up to Day 304/ET that were absent before treatment or that worsened relative to pretreatment state. Systemic TEAEs were events which were not localized but occurred throughout the systemic circulation and reported as related and non-related to study drug., Baseline up to Day 304/ET|Number of Participants With Positive Anti-Drug-Antibodies (ADA) and Neutralizing Antibodies (Nab), The immunogenicity of RN6G (PF-04382923) in terms of producing an antidrug antibody (ADA) and neutralizing antibody response were assessed. Neutralizing antibody response were to be assess in participants with positive ADA samples., Baseline up to Day 304/ET",Pfizer,24,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2010-08-05
NCT00568191,Stratus Versus Cirrus OCT in AMD,https://clinicaltrials.gov/study/NCT00568191,UNKNOWN,Age-Related Macular Degeneration|Choroidal Neovascularization,,"Number of algorithm failures assessed by Stratus OCT versus Cirrus OCT in the horizontal central line, only 1 examination",The Ludwig Boltzmann Institute of Retinology and Biomicroscopic Laser Surgery,100,OBSERVATIONAL,Observational Model: |Time Perspective: p,2007-10
NCT00902408,Effect of Lutein-enriched-egg Beverage on Age-Related Macular Degeneration (AMD),https://clinicaltrials.gov/study/NCT00902408,COMPLETED,Age Related Macular Degeneration,DIETARY_SUPPLEMENT: Lutein enriched eggs,"Changes in amount of early macular degeneration signs on fundus photographs. Macular pigment optical density. Plasma lutein and zeaxanthin levels., 1 year",Maastricht University Medical Center,100,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2009-07
NCT04667039,"Efficacy, Safety, pharmacokinetiсs, Immunogenicity of GNR-067 and Lucentis®",https://clinicaltrials.gov/study/NCT04667039,RECRUITING,Age Related Macular Degeneration (ARMD),BIOLOGICAL: GNR-067|BIOLOGICAL: Lucentis®,"The proportion of patients (%) with an increase in the best-corrected visual acuity (BCVA) score on the ETDRS chart (measured using logMAR/Snellen chart) of 15 or more letters at Week 8 versus baseline in the compared groups., Global evaluation of treatment effectiveness (the best-corrected visual acuity (BCVA) score on the ETDRS chart (measured using logMAR/Snellen chart)) of 15 or more letters are a validated tool and has been used to evaluate the clinical response to ranibizumab in patients with with neovascular (wet) age-related macular degeneration., At 8 Week after comparative treatment beginning (GNR-067 vs. Lucentis®).",AO GENERIUM,408,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2022-03-20
NCT05672979,Prospective triAl of Modified Treat-and-extend Regimens With BroLucizumab in pachychOroid Neovasculopathy,https://clinicaltrials.gov/study/NCT05672979,NOT_YET_RECRUITING,Age-Related Macular Degeneration|Pachychoroid Neovasculopathy,DRUG: Brolucizumab Injection [Beovu],"Mean change from baseline in best corrected visual acuity, Mean change from baseline in best corrected visual acuity, Week 32",Yeungnam University College of Medicine,36,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-01-01
NCT05916391,Gene Therapy for Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT05916391,RECRUITING,Diabetic Macular Edema,GENETIC: FT-003,"Safety and tolerability after FT-003 injection, Incidence and severity of AE (Common Terminology Criteria for Adverse Events 5.0), Whthin 52 weeks after administration",Frontera Therapeutics,18,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-05-19
NCT03559491,Dexamethasone Intravitreal Implant in Retinal Vein Occlusion,https://clinicaltrials.gov/study/NCT03559491,COMPLETED,"Macular Edema, Cystoid",DRUG: Intravitreal injection,"Visual acuity, evaluation of visual acuity, 6 months|retinal sensibility, microperimetry evaluation, 6 months",Università degli Studi dell'Insubria,30,OBSERVATIONAL,Observational Model: |Time Perspective: p,2015-10
NCT03814291,A Dose Escalation Study of IBI302 in Patients With Wet Age-related Macular Degeneration,https://clinicaltrials.gov/study/NCT03814291,UNKNOWN,Neovascular Age-related Macular Degeneration,DRUG: IBI302|DRUG: IBI302|DRUG: IBI302|DRUG: IBI302|DRUG: IBI302|DRUG: IBI302,"Safety evaluation indicators, Decreasing of BCVA; b) Changes in intraocular pressure compared with baseline; c) Incidence, relatedness and severity of all adverse events, treatment emergent adverse events and serious adverse events;, Baseline to Day43",Innovent Biologics (Suzhou) Co. Ltd.,36,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-04-16
NCT01306591,Bevacizumab for Neovascular Age-related Macular Degeneration,https://clinicaltrials.gov/study/NCT01306591,COMPLETED,Exudative Age-related Macular Degeneration,DRUG: Bevacizumab 1|DRUG: Bevacizumab,"EDTRS visual acuity score, EDTRS visual acuity score is assessed at each timepoint for every group, 0week(baseline), 6week, 12week, 18week, 24week, 30week, 36week, 42week, 48week",Peking University People's Hospital,210,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2008-01
