NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT05271539,Intravitreal Ranibizumab Versus Its Combination With Dexamethasone in The Treatment of Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT05271539,COMPLETED,Diabetic Macular Edema,DRUG: Lucentis alone group|DRUG: Lucentis dexamethasone group,"Central foveal thickness, Central foveal thickness in microns measured by OCT, 6 months after the first injection|BCVA (Decimal), Best corrected visual acuity measured on Snellen chart in Decimal form, 6 months after the first injection|The number of injections, The total number of injections in each Arm group, over 6 months duration of the study",Cairo University,42,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-07-01
NCT05916391,Gene Therapy for Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT05916391,RECRUITING,Diabetic Macular Edema,GENETIC: FT-003,"Safety and tolerability after FT-003 injection, Incidence and severity of AE (Common Terminology Criteria for Adverse Events 5.0), Whthin 52 weeks after administration",Frontera Therapeutics,18,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-05-19
NCT00999791,Intravitreal Diclofenac Versus Avastin as Primary Treatment of Diffuse Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT00999791,UNKNOWN,Diffuse Diabetic Macular Edema,DRUG: Bevacizumab|DRUG: Diclofenac,,Shahid Beheshti University of Medical Sciences,,INTERVENTIONAL,Allocation: |Intervention Model: PARALLEL|Masking: |Primary Purpose: TREATMENT,2009-07
NCT03832179,Steroid vs. Anti-vascular Endothelial Growth Factor for Diabetic Macular Edema Prior to Phacoemulsification,https://clinicaltrials.gov/study/NCT03832179,RECRUITING,Diabetic Macular Edema|Cataract,DRUG: Bevacizumab|DRUG: Ranibizumab|DRUG: Aflibercept|DRUG: Ozurdex,"Comparison of central foveal thickness outcomes of anti-vascular endothelial growth factor vs. Ozurdex therapy, Central foveal thickness will be measured in microns by spectral domain optical coherence tomography (Heidelberg) and compared to baseline at post-operative week 1, postoperative month 1, postoperative month 2, and postoperative month 3 for both anti-vascular endothelial growth factor and Ozurdex groups, 3 months after cataract surgery",Bay Area Retina Associates,32,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-11-15
NCT01909791,Treatment for CI-DME in Eyes With Very Good VA Study,https://clinicaltrials.gov/study/NCT01909791,COMPLETED,Diabetic Macular Edema,PROCEDURE: Prompt Laser|DRUG: Prompt aflibercept|PROCEDURE: Deferred laser|DRUG: Deferred aflibercept,"Number of Eyes With at Least 5-letter Decrease in E-ETDRS Visual Acuity Letter Score From Baseline, Best-corrected visual acuity following protocol-defined refraction. Visual Acuity was measured with the Electronic Early Treatment Diabetic Retinopathy Study (E-ETDRS) visual acuity test on a scale from 100 letters (Snellen equivalent of 20/12) to 0 letters (Snellen equivalent of 20/800)., 2 years",Jaeb Center for Health Research,702,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2013-10
NCT03551808,Prophylactic Effect of Ketorolac Tromethamine on the Cystoid Macular Edema After Phacoemulsification in Diabetic Patients,https://clinicaltrials.gov/study/NCT03551808,UNKNOWN,Cystoid Macular Edema After Phacoemulsification,DRUG: using of Ketorolac Tromethamine Eye Drop,"Best Corrected visual acuity, Snellen visual acuity chart, 24 weeks after the surgery",Shahid Beheshti University of Medical Sciences,102,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: PREVENTION",2017-01-01
NCT02712008,Anti-vasculaR Endothelial Growth Factor plUs Anti-angiopoietin 2 in Fixed comBination therapY: Evaluation for the Treatment of Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT02712008,COMPLETED,Diabetic Macular Edema,DRUG: REGN910-3|DRUG: Intravitreal Aflibercept Injection (IAI),"Change From Baseline in Best Corrected Visual Acuity (BCVA) Measured by Early Treatment Diabetic Retinopathy Study (ETDRS) Letter Score at Week 12, Visual function of the study eye was assessed using the Early Treatment Diabetic Retinopathy Study (ETDRS) protocol at 4 meters. Best Corrected Visual Acuity (BCVA) score was measured using an eye chart and was reported as the number of letters read correctly at a testing distance of 4 meters using the ETDRS Scale (ranging from 0 to 100 letters) in the study eye. The lower the number of letters read correctly on the eye chart, the worse the vision (or visual acuity). An increase in the number of letters read correctly means that vision has improved. Change from baseline calculated by subtracting baseline value from observed post-baseline value at Week 12., Baseline, Week 12|Change From Baseline in Best Corrected Visual Acuity (BCVA) Measured by Early Treatment Diabetic Retinopathy Study (ETDRS) Letter Score at Week 36, Visual function of the study eye was assessed using the Early Treatment Diabetic Retinopathy Study (ETDRS) protocol at 4 meters. BCVA score was measured using an eye chart and was reported as the number of letters read correctly at a testing distance of 4 meters using the ETDRS Scale (ranging from 0 to 100 letters) in the study eye. The lower the number of letters read correctly on the eye chart, the worse the vision (or visual acuity). An increase in the number of letters read correctly means that vision has improved. Change from baseline calculated by subtracting baseline value from observed post-baseline value at Week 36., Baseline, Week 36",Regeneron Pharmaceuticals,302,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2016-03-02
NCT03056079,Cytokine and Visual Outcome Variations in Eyes Receiving Aflibercept,https://clinicaltrials.gov/study/NCT03056079,RECRUITING,Age Related Macular Degeneration|Diabetic Macular Edema|Retinal Vein Occlusion|Macular Edema,DRUG: Intravitreal aflibercept,"Association between cytokine levels and optimal treatment interval, Optimal interval between injections based on aqueous cytokine levels, 18 months",Unity Health Toronto,168,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-02-28
NCT03112005,Assessment of EyeArt as an Automated Diabetic Retinopathy Screening Tool,https://clinicaltrials.gov/study/NCT03112005,COMPLETED,Diabetic Retinopathy|Diabetic Eye Problems|Diabetic Macular Edema,PROCEDURE: Color fundus photography|DRUG: Mydriatic Agent,"Number of subject eyes whose EyeArt results match the reading center grading for identifying referable diabetic eye disease (moderate NPDR or higher on the ICDR scale or surrogate markers for CSME)., The performance of EyeArt will be evaluated using sensitivity and specificity measures., 1 visit (1 day)|Number of subject eyes whose EyeArt results match the reading center grading for identifying vision threatening diabetic eye disease (severe NPDR or PDR or surrogate markers for CSME)., The performance of EyeArt will be evaluated using sensitivity and specificity measures., 1 visit (1 day)","Eyenuk, Inc.",942,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-04-17
NCT05989126,Study to Evaluate an 8 mg Aflibercept (EYLEA®) Prefilled Syringe (PFS),https://clinicaltrials.gov/study/NCT05989126,NOT_YET_RECRUITING,Diabetic Macular Edema (DME)|Neovascular Age-Related Macular Degeneration (nAMD),DRUG: aflibercept 8 mg PFS,"Number of 8 mg aflibercept injections successfully administered utilizing the PFS, Participants received a single dose of study drug, administered in the selected study eye with the PFS by a retina specialist. Physician assessed successful aflibercept preparation and administration with the PFS., At Day 1",Regeneron Pharmaceuticals,35,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-01-09
