NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT05271539,Intravitreal Ranibizumab Versus Its Combination With Dexamethasone in The Treatment of Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT05271539,COMPLETED,Diabetic Macular Edema,DRUG: Lucentis alone group|DRUG: Lucentis dexamethasone group,"Central foveal thickness, Central foveal thickness in microns measured by OCT, 6 months after the first injection|BCVA (Decimal), Best corrected visual acuity measured on Snellen chart in Decimal form, 6 months after the first injection|The number of injections, The total number of injections in each Arm group, over 6 months duration of the study",Cairo University,42,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-07-01
NCT05739539,Assessment of Retinal Vascular Changes With and Without ILM Peeling in Diabetic Vitrectomy Using OCT-A.,https://clinicaltrials.gov/study/NCT05739539,RECRUITING,Diabetic Vitreous Hemorrhage|Tractional Retinal Detachment,DIAGNOSTIC_TEST: optical coherence tomography angiography|DIAGNOSTIC_TEST: spectral domain optical coherence tomography,"Compare the superficial and deep vascular densities using OCT-A with and without ILM peeling in diabetic vitrectomy patients., Compare the superficial and deep vascular densities in percentage compared to normative database using OCT-A (Optovue) with and without ILM peeling in diabetic vitrectomy patients., 18 months|Compare the foveal avascular zone using OCT-A between both groups., Compare the foveal avascular zone measured in micrometer using OCT-A between both groups., 18 months",Kasr El Aini Hospital,36,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,2022-04-01
NCT05916391,Gene Therapy for Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT05916391,RECRUITING,Diabetic Macular Edema,GENETIC: FT-003,"Safety and tolerability after FT-003 injection, Incidence and severity of AE (Common Terminology Criteria for Adverse Events 5.0), Whthin 52 weeks after administration",Frontera Therapeutics,18,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-05-19
NCT05704491,AI Screening for Diabetic Retinopathy,https://clinicaltrials.gov/study/NCT05704491,RECRUITING,Diabetes Mellitus,DIAGNOSTIC_TEST: artificial intelligence (AI) algorithm of the MONA DR model,"PPV, positive predictive value, 12 months|NPV, negative predictive value, 12 months|SEN, sensitivity, 12 months|SPEZ, specificity, 12 months",West German Center of Diabetes and Health,100,OBSERVATIONAL,Observational Model: |Time Perspective: p,2023-01-30
NCT04547439,"Sleep, Diabetic Retinopathy and Melatonin",https://clinicaltrials.gov/study/NCT04547439,RECRUITING,Diabetes Mellitus|Diabetic Retinopathy,DRUG: Melatonin|OTHER: Placebo,"Sleep pattern, Sleep pattern: Sleep duration and sleep efficiency will be assessed by wrist actigraphy, to be worn by the participants for 14 days, 14 days|Melatonin and Cortisol Rhythm, Melatonin and cortisol pattern (peak times of the levels, dim light melatonin onset) will be assessed from 24 hour blood sampling, 24 hours",University of Illinois at Chicago,36,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2021-02-03
NCT01232179,Comparison of Two Laser Therapy Methods for PDR,https://clinicaltrials.gov/study/NCT01232179,UNKNOWN,Proiriftrative Diabetic Retinopathy,PROCEDURE: conventional prp|PROCEDURE: targeted prp,"no leakage in widefield fluorescin angiography, 3 months after lasertraphy",Shahid Beheshti University of Medical Sciences,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: |Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2010-10
NCT04800679,Intravitreal Bevacizumab vs Laser vs Combination of Bevacizumab and Modified Laser in PDR,https://clinicaltrials.gov/study/NCT04800679,UNKNOWN,Proliferative Diabetic Retinopathy,DRUG: receive 4 monthly IVB injections and then rescue IVB|DRUG: PRP group|DRUG: IVB injections and a modified laser,"Extent of neovascular tissues in disc-diameter measured by investigator according to the wide-field FAG, Number of neovascular tissue counted by investigator according to FAG, 12 months",Shahid Beheshti University of Medical Sciences,105,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-03-01
NCT00999791,Intravitreal Diclofenac Versus Avastin as Primary Treatment of Diffuse Diabetic Macular Edema,https://clinicaltrials.gov/study/NCT00999791,UNKNOWN,Diffuse Diabetic Macular Edema,DRUG: Bevacizumab|DRUG: Diclofenac,,Shahid Beheshti University of Medical Sciences,,INTERVENTIONAL,Allocation: |Intervention Model: PARALLEL|Masking: |Primary Purpose: TREATMENT,2009-07
NCT02857491,Intravitreal Injection of Ranibizumab Versus Sham Before Vitrectomy in Patients With Proliferative Diabetic Retinopathy,https://clinicaltrials.gov/study/NCT02857491,COMPLETED,Proliferative Diabetic Retinopathy,DRUG: ranibizumab|DRUG: sham|PROCEDURE: pars plana vitrectomy,"perioperative hemorrhage of the surgical eye, 3 month",Sun Yat-sen University,90,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2014-07
NCT03832179,Steroid vs. Anti-vascular Endothelial Growth Factor for Diabetic Macular Edema Prior to Phacoemulsification,https://clinicaltrials.gov/study/NCT03832179,RECRUITING,Diabetic Macular Edema|Cataract,DRUG: Bevacizumab|DRUG: Ranibizumab|DRUG: Aflibercept|DRUG: Ozurdex,"Comparison of central foveal thickness outcomes of anti-vascular endothelial growth factor vs. Ozurdex therapy, Central foveal thickness will be measured in microns by spectral domain optical coherence tomography (Heidelberg) and compared to baseline at post-operative week 1, postoperative month 1, postoperative month 2, and postoperative month 3 for both anti-vascular endothelial growth factor and Ozurdex groups, 3 months after cataract surgery",Bay Area Retina Associates,32,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-11-15
