NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT05145491,Randomized Trial Comparing Immediate vs. Deferred Surgery for Symptomatic ERM,https://clinicaltrials.gov/study/NCT05145491,RECRUITING,Epiretinal Membrane,PROCEDURE: Immediate Vitrectomy|PROCEDURE: Deferred Vitrectomy,"Mean change in visual acuity letter score from baseline to 36 months, Visual acuity is measured as a continuous integer letter score from 0 to 100, with higher numbers indicating better visual acuity. A letter score of 85 is approximately 20/20 and a letter score of 70 is approximately 20/40, the legal unrestricted driving limit in most states. A 5-letter change for an individual is approximately equal to a 1-line change on a vision chart., Baseline to 36 months",Jaeb Center for Health Research,400,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2022-02-22
NCT05287009,Optical Coherence Tomography Angiography (OCTA) Changes in Patients With Epiretinal Membranes (ERM) With and Without Peeling of the Internal Limiting Membrane (ILM),https://clinicaltrials.gov/study/NCT05287009,COMPLETED,Epiretinal Membrane of Both Eyes,PROCEDURE: ILM nonpeeling|PROCEDURE: ILM peeling,"Superficial capillary plexus foveal avascular zone area, Superficial capillary plexus foveal avascular zone area (SCP FAZ) change (preoperative to postoperative). The SCP FAZ represents the area of the macula where blood vessels are not seen in OCTA under physiologic conditions. It has previously been reported that the FAZ narrows during ERM development and enlarges after ERM removal., 3 months",Medical University of Graz,51,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-06-25
NCT01549249,Evaluation of the Cone Outer Segment Tips Line After Epiretinal Membrane Surgery,https://clinicaltrials.gov/study/NCT01549249,COMPLETED,Epiretinal Membrane,DEVICE: optical coherence tomography,"best-corrected visual acuity, one year",Kyorin University,333,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2008-06
NCT01238393,Treatment of Epiretinal Membranes With Ranibizumab,https://clinicaltrials.gov/study/NCT01238393,COMPLETED,Epiretinal Membrane,DRUG: intravitreal ranibizumab,"Evidence of improvement measured by optical coherence tomography, 3 and 6 months",Queen's University,11,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2010-11
NCT01083004,Brilliant Blue Versus Indocyanine Green,https://clinicaltrials.gov/study/NCT01083004,UNKNOWN,Macular Pucker|Macular Hole|Vitreoretinal Surgery,PROCEDURE: Indocyanine green|PROCEDURE: Brilliant blue arm,"Best corrected far visual acuity (ETDRS), 1 year postoperative",University of Cologne,50,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-01
NCT05416827,Evaluation of Intraoperative Slow-release Dexamethasone Implant for Epiretinal Membrane,https://clinicaltrials.gov/study/NCT05416827,NOT_YET_RECRUITING,Epiretinal Membrane,PROCEDURE: slow-release dexamethasone implant,"CMT, central macular thickness, from preoperation to 3 months follow-up|IOP, intraocular pressure, from preoperation to 3 months follow-up|BCVA, best-corrected visual acuity, from preoperation to 3 months follow-up",Peking University People's Hospital,30,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-06-15
NCT01273727,Ozurdex for Macular Edema Post Membrane Peeling,https://clinicaltrials.gov/study/NCT01273727,COMPLETED,Epiretinal Membrane|Cellophane Maculopathy|Macular Edema|Retinal Edema,DRUG: Dexamethasone|DRUG: dexamethasone,"mean best corrected visual acuity as measured by Snellen visual acuity compared to enrollment, 6 months","Retina Specialists, PC",35,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2010-06
NCT01771939,Phacoemulsification and 25 Gauge (25G) Vitrectomy Versus Phacoemulsification Only in Idiopathic Epiretinal Membranes,https://clinicaltrials.gov/study/NCT01771939,COMPLETED,Epiretinal Membrane,PROCEDURE: 25-G vitrectomy and phacoemulsification|PROCEDURE: phacoemulsification (cataract surgery),"Visual acuity (using LogMar scale) changes from baseline to pre-defined periods after surgery, We observed how did the visual acuity (using LogMar scale) increase after the two different surgical approaches described., within 90,180,360,1360 days after surgery","University of Turin, Italy",60,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2006-10
NCT05232539,Efficiency of Intraoperative Optical Coherence Tomography (iOCT),https://clinicaltrials.gov/study/NCT05232539,RECRUITING,Epiretinal Membrane|Glaucoma|Cornea,DEVICE: Intraoperative Optical Coherence Tomography (iOCT),"Attachment of the transplanted DMEK lamella., The investigators will evaluate the attachment of the transplanted DMEK lamella (respectively % area of lamella ablation) on the slit lamp., At the first week postoperatively.|Attachment of the transplanted DMEK lamella., The investigators will evaluate the attachment of the transplanted DMEK lamella (respectively % area of lamella ablation) on the slit lamp., 1 month postoperatively|Attachment of the transplanted DMEK lamella., The investigators will evaluate the attachment of the transplanted DMEK lamella (respectively % area of lamella ablation) on the slit lamp., 3 months postoperatively|Attachment of the transplanted DMEK lamella., The investigators will evaluate the attachment of the transplanted DMEK lamella (respectively % area of lamella ablation) on the slit lamp., 6 months postoperatively|Density of the transplanted endothelium cells., The investigators will evaluate the density of the transplanted endothelium cells using the endothelial microscope., At the first week postoperatively.|Density of the transplanted endothelium cells., The investigators will evaluate the density of the transplanted endothelium cells using the endothelial microscope., 1 month postoperatively|Density of the transplanted endothelium cells., The investigators will evaluate the density of the transplanted endothelium cells using the endothelial microscope., 3 months postoperatively|Density of the transplanted endothelium cells., The investigators will evaluate the density of the transplanted endothelium cells using the endothelial microscope., 6 months postoperatively|Correct localization of the Esnoper Clip implant and confirmation of its functionality., The investigators will evaluate correct localization of the Esnoper Clip implant and confirmation of its functionality (decentration of the implant in millimeters, functionality expressed by the size of filtration into the subcleral and suprachoroidal space) using stationary OCT., At the first week postoperatively.|Correct localization of the Esnoper Clip implant and confirmation of its functionality., The investigators will evaluate correct localization of the Esnoper Clip implant and confirmation of its functionality (decentration of the implant in millimeters, functionality expressed by the size of filtration into the subcleral and suprachoroidal space) using stationary OCT., 1 month postoperatively|Correct localization of the Esnoper Clip implant and confirmation of its functionality., The investigators will evaluate correct localization of the Esnoper Clip implant and confirmation of its functionality (decentration of the implant in millimeters, functionality expressed by the size of filtration into the subcleral and suprachoroidal space) using stationary OCT., 3 months postoperatively|Correct localization of the Esnoper Clip implant and confirmation of its functionality., The investigators will evaluate correct localization of the Esnoper Clip implant and confirmation of its functionality (decentration of the implant in millimeters, functionality expressed by the size of filtration into the subcleral and suprachoroidal space) using stationary OCT., 6 months postoperatively|Frequency of epiretinal membrane residues., The investigators will evaluate the frequency of epiretinal membrane residues using stationary OCT., At the first week postoperatively.|Histological verification of tissues identified on the basis of iOCT during surgery., The investigators in cooperation with pathologist will histologicaly verificate tissues identified on the basis of iOCT during surgery in Deep sclerectomy and Pars plana vitrectomy patients., At the first week postoperatively.","Somich, s.r.o.",2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DEVICE_FEASIBILITY,2022-05
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,https://clinicaltrials.gov/study/NCT02390245,COMPLETED,Glaucoma|Glaucoma Suspect|Diabetic Retinopathy|Ocular Hypertension|Cataract|Branch Retinal Vein Occlusion|Branch Retinal Arterial Occlusion|Central Retinal Vein Occlusion|Central Retinal Artery Occlusion|Epi-retinal Membrane|Macular Degeneration|Drusen|Loss of Vision,OTHER: Free Eye Screenings|OTHER: Enhanced Intervention|OTHER: Usual Care,"Fundus Camera Images Via Telemedicine, Phase I. Detection of glaucoma and other eye diseases using non contact, autofocus, hand-held fundus camera (Volk Optical, Mentor, Ohio, USA) with images of optic nerve and macula and confirmed at follow-up full dilated eye examination by ophthalmologists., 1 hour eye exam|Intraocular Pressure, Phase I. Intraocular pressure (IOP) as measured in millimeters of mercury (mm Hg) with non contact rebound tonometer TA01I (ICare, Helsinki, Finland). Single IOP taken for each eye. If IOP \> 22 mm Hg, a second IOP was taken of that eye. If difference between 2 measurements \< 2 mm Hg, average was recorded. If difference between 2 measurements \> 2 mm Hg, a third measurement was obtained, and median was recorded. If final IOP \> 30 mm Hg, participant was Fast Tracked to Visit 2., 1 hour eye exam|Diagnostic Image Confirmation by Ophthalmologist, Phase I. Confirmation of telemedicine screen Visit 1 findings with a diagnosis following complete dilated eye examination and visual field by study team and Ophthalmologist at Visit 2., 1 hour eye examination",Wills Eye,906,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2014-09
