NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT04698226,ILM Peeling Versus Inverted Flap Technique for Treatment of Macular Hole: Near Visual Acuity Outcomes,https://clinicaltrials.gov/study/NCT04698226,RECRUITING,Macular Holes,PROCEDURE: 25-gauge pars plana vitrectomy with complete internal limiting membrane peeling and SF6 tamponade|PROCEDURE: 25-gauge pars plana vitrectomy with inverted flap technique and SF6 tamponade,"Near best corrected visual acuity on Salzburg reading desk, Near best corrected visual acuity defined as the smallest text size where reading speed is over 80 wpm or word miss rate is 1 or lower as per Salzburg reading desk exam., Month 6|Microperimetry - macular integrity, Change from baseline macular integrity score from MAIA Confocal Microperimeter Expert exam 4-2 of the study eye at month 6., Baseline and month 6|Microperimetry - avarage threshold, Change from baseline avarage threshold score from MAIA Confocal Microperimeter Expert exam 4-2 of the study eye.exam 4-2 of the study eye at month 6., Baseline and month 6|Microperimetry - fixation stability, Change from baseline fixation stability P1 and P2 from MAIA Confocal Microperimeter Expert exam 4-2 of the study eye at month 6., Baseline and month 6|Macular hole closure rate, Macular hole closure rate defined as a flattened and reattached hole rim along the whole circumference of macular hole on the OCT examination of the macular region of the study eye., Month 6",Faculty Hospital Kralovske Vinohrady,60,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2021-01-05
NCT00123279,Intravitreal Microplasmin in Patients Undergoing Surgical Vitrectomy,https://clinicaltrials.gov/study/NCT00123279,COMPLETED,Vitreomacular Traction Maculopathy|Eye Diseases,DRUG: Microplasmin,"Grade of Posterior Vitreous Detachment (PVD) preoperatively and release of vitreomacular traction, Baseline, 1,2 and 3hr, 1, 3, 14, 28, 90 and 180 Days",ThromboGenics,60,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-12
NCT00941291,Outcome of Idiopathic Macular Hole,https://clinicaltrials.gov/study/NCT00941291,COMPLETED,Idiopathic Macular Hole,,"Long-term outcome of idiopathic macular hole surgery, 37 months",Centre Hospitalier Universitaire Dijon,135,OBSERVATIONAL,Observational Model: |Time Perspective: p,2002-01
NCT03174639,High Myopia Macular Hole and Retinal Detachment Treated With Double ILM Flaps,https://clinicaltrials.gov/study/NCT03174639,COMPLETED,High Myopia|Macular Holes|Retinal Detachment,PROCEDURE: Inverted and free ILM insertion,"Closure of macular hole, Closure of macular hole demonstrated by optical coherence tomography, 3 months",National Taiwan University Hospital,8,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2016-03-11
NCT06115005,Treatment of Challenging Macular Holes Using Plasma Rich in Growth Factors,https://clinicaltrials.gov/study/NCT06115005,RECRUITING,Macular Holes,BIOLOGICAL: Plasma rich in growth factors ( PRGF ),"Number of participants that revealed closure of challenging macular holes, By clinical examination and OCT, 6 months",Minia University,40,INTERVENTIONAL,"Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-06-01
NCT01480505,Primary Vitrectomy for the Treatment of Retinal Detachment in Highly Myopic,https://clinicaltrials.gov/study/NCT01480505,COMPLETED,"Intraocular Pressure,|Postoperative Complications",PROCEDURE: Pars plana vitrectomy with gas tamponade,"Assessing the functional and anatomical outcome of primary vitrectomy in Rhegmatogenous retinal detachment in highly myopic eyes, To assess by visual acuity measurements, fundus ophthalmoscopy and OCT scans the functional and anatomical outcome in patients with higly myopic eyes whom we performed primary vitrectomy without scleral buckling for rhegmatogenous retinal detachment (RRD)in comparison to standard surgical technics wich consist on scleral buckling and pars plana vitrectomy with fluid gas exchange.",Centre Hospitalier Universitaire Dijon,840,OBSERVATIONAL,Observational Model: |Time Perspective: p,1999-10
NCT05875909,Corneal Flap Transplantation for Macular Hole Repair of High Myopia,https://clinicaltrials.gov/study/NCT05875909,ACTIVE_NOT_RECRUITING,"Retinal Perforations|Myopia, Degenerative",PROCEDURE: corneal flap transplantation,"best-corrected visual acuity, the best-corrected visual acuity of the patients after surgery, one month to one year after surgery|complications, inflammation, infection, rejection reaction, ocular hypertension, ocular hypotension, recrudescent macular hole, parafoveal atrophy, corrugations or irregularities, choroidal neovascularisation, retinal detachment, cystoid macular oedema, reactive pigment epithelial hyperplasia, displacement, or opacification of the corneal flap, one month to one year after surgery|closure of the macular holes, closure of the macular holes observed using optical coherence tomography, one month to one year after surgery|reattachment of the retina, reattachment of the retina observed using optical coherence tomography, one month to one year after surgery",First People's Hospital of Hangzhou,30,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-02-23
NCT01083004,Brilliant Blue Versus Indocyanine Green,https://clinicaltrials.gov/study/NCT01083004,UNKNOWN,Macular Pucker|Macular Hole|Vitreoretinal Surgery,PROCEDURE: Indocyanine green|PROCEDURE: Brilliant blue arm,"Best corrected far visual acuity (ETDRS), 1 year postoperative",University of Cologne,50,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-01
NCT04676217,Position Related Changes in Macular Hole Morphology Before and After Surgery,https://clinicaltrials.gov/study/NCT04676217,COMPLETED,Macular Holes,PROCEDURE: Postoperative positioning advice,"Macular hole mid diameter, Micrometer, 1 day|Macular hole basal diameter, Micrometer, 1 day|Macular hole mid area, Square micrometer, 1 day|Central retinal thickness, Micrometer, 1 day",Helse Stavanger HF,40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-01-01
NCT03805763,Clinical Research on the Effect of Different Extents of Internal Limiting Membrane Peeling on Macular Hole Closure and Visual Acuity,https://clinicaltrials.gov/study/NCT03805763,UNKNOWN,Macular Holes,PROCEDURE: Large extent of ILM Peeling|PROCEDURE: Small extent of ILM Peeling,"Condition of postoperative healing of macular holes, postoperative photograph of macular retina scanned by Angiography Optical Coherence Tomography(AngioOCT), 1 year|Mean change from baseline in best-corrected visual acuity (BCVA), Assessed using the ETDRS protocol, 1 year|change from baseline in foveal avascular zone (FAZ) areas and diameter, Assessed on AngioOCT, 1 year|change from baseline in the area and diameter of deteriorated circulation zone in superficial and deep retina vessels, Assessed on AngioOCT, 1 year",Wenzhou Medical University,60,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2019-02-01
