NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT01334879,High Dose Intravitreal Ranibizumab for Recalcitrant Radiation Retinopathy,https://clinicaltrials.gov/study/NCT01334879,COMPLETED,Radiation Retinopathy,DRUG: ranibizumab 2.0 mg,"Number of participants with adverse events (allergy, infection, or change in vital signs), All subjects will be assessed at baseline, at 7 days after first injection, and monthly for adverse events. The primary outcome measures for safety and tolerability are: 1. incidence and severity of ocular adverse events, as identified by eye examination (including best corrected visual acuity testing) and 2. Incidence and severity of other adverse events, as identified by physical examination, subject reporting, and changes in vital signs, Baseline, at day 7, then monthly",The New York Eye Cancer Center,10,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2011-05
NCT00004006,"Combination Chemotherapy, Radiation Therapy, and Bone Marrow Transplantation in Treating Patients With Retinoblastoma",https://clinicaltrials.gov/study/NCT00004006,COMPLETED,Retinoblastoma,BIOLOGICAL: filgrastim|DRUG: carboplatin|DRUG: cyclophosphamide|DRUG: doxorubicin hydrochloride|DRUG: etoposide|DRUG: topotecan hydrochloride|PROCEDURE: autologous bone marrow transplantation|RADIATION: radiation therapy,,St. Jude Children's Research Hospital,4,INTERVENTIONAL,Allocation: |Intervention Model: |Masking: |Primary Purpose: TREATMENT,1997-11
NCT02586727,Role of Intravitreal Aflibercept Injection for the Treatment of Radiation Maculopathy,https://clinicaltrials.gov/study/NCT02586727,COMPLETED,Adverse Effect of Radiation Therapy,DRUG: aflibercept,"Mean Best Corrected Visual Acuity (BCVA) in Patients Treated With Intravitreal Aflibercept Injections for the Management of Radiation Maculopathy., BCVA will be measured with letter optotypes. A lower value indicates a better outcome., 12 months",Larkin Community Hospital,40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-10
NCT00211367,Treatment of Radiation Retinopathy With Open-Label Anecortave Acetate Sterile Suspension (15 mg),https://clinicaltrials.gov/study/NCT00211367,TERMINATED,Eye Injuries,DRUG: Anecortave Acetate,"to investigate the use of anecortave acetate in radiation retinopathy, 24 months","Manhattan Eye, Ear & Throat Hospital",2,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-04
NCT01833325,Proton Radiation Therapy for Macular Degeneration,https://clinicaltrials.gov/study/NCT01833325,COMPLETED,Age-Related Macular Degeneration,RADIATION: Proton radiation,"Number of participants with acute and late morbidity of the eye as a measure of safety, 1 year after completion of radiation treatment|Number of participants with cessation of growth of neovascular membranes., 1 year after completion of radiation treatment|Visual acuity per comprehensive eye exam, 1 year after completion of radiation treatment|Frequency of intravitreal injections following radiation treatment, 1 year after completion of radiation treatment",University of Florida,9,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-05
NCT01521065,An Open-label Study to Evaluate the Clinical and Economic Benefits of I-Ray in Patients With Choroidal Neovascularization Secondary to Age-related Macular Degeneration,https://clinicaltrials.gov/study/NCT01521065,UNKNOWN,Age-Related Macular Degeneration|Wet Macular Degeneration|Macular Degeneration|Eye Diseases|Retinal Diseases,DEVICE: IRay,"Rate of anti-VEGF injections during the first 12 months, 12 Months","Oraya Therapeutics, Inc.",500,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2012-09
NCT00360750,Chemotherapy With or Without Radiation Therapy or Observation in Treating Young Patients With Advanced Retinoblastoma Who Have Undergone Surgery to Remove the Eye,https://clinicaltrials.gov/study/NCT00360750,UNKNOWN,Retinoblastoma,DRUG: carboplatin|DRUG: cytarabine|DRUG: etoposide|DRUG: vincristine sulfate|OTHER: clinical observation|PROCEDURE: adjuvant therapy|RADIATION: radiation therapy,Outcome data compared to historical controls|Disease-free and overall survival in children undergoing observation after enucleation|Toxicity,Children's Cancer and Leukaemia Group,,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: |Masking: NONE|Primary Purpose: TREATMENT,2005-09
NCT02483650,Hyperbaric Oxygen Therapy Registry,https://clinicaltrials.gov/study/NCT02483650,UNKNOWN,"Air or Gas Embolism|Carbon Monoxide Poisoning|Clostridial Myositis and Myonecrosis (Gas Gangrene)|Crush Injury, Compartment Syndrome & Other Acute Traumatic Ischemias|Decompression Sickness|Peripheral Arterial Insufficiency and Central Retinal Artery Occlusion|Severe Anemia|Intracranial Abscess|Necrotizing Soft Tissue Infections|Osteomyelitis (Refractory)|Delayed Radiation Injury (Soft Tissue and Bony Necrosis)|Compromised Grafts and Flaps|Acute Thermal Burn Injury|Idiopathic Sudden Sensorineural Hearing Loss",,"Outcome of problem treated with HBOT, Counts by outcome type, 12 Months",U.S. Wound Registry,5000,OBSERVATIONAL,Observational Model: |Time Perspective: p,2005-01
NCT01339949,Study to Evaluate the Safety and Effectiveness of IRay in Wet Age-related Macular Degeneration (AMD) Patients With Recurrent Leakage Secondary to Choroidal Neovascularisation (CNV),https://clinicaltrials.gov/study/NCT01339949,WITHDRAWN,Wet Age-related Macular Degeneration|Age-related Macular Degeneration|AMD|Wet AMD|Macular Degeneration,DEVICE: IRay|DEVICE: IRay,"Number of Lucentis injections during first 52 weeks, 52 weeks","Oraya Therapeutics, Inc.",0,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2011-06
NCT01471054,Dexamethasone Intravitreal Implant for Treatment of Macular Edema After Plaque Radiotherapy of Uveal Melanoma,https://clinicaltrials.gov/study/NCT01471054,TERMINATED,Macular Edema|Cystoid Macular Edema|Uveal Melanoma|Radiation Maculopathy|Radiation Retinopathy,DRUG: Ozurdex|DRUG: Bevacizumab,"Number of Participants for Whom Study Eye Showed >=2 Lines of Improvement in Best-corrected Visual Acuity, The number of participants that developed 2 or more lines of visual acuity improvement in the study eye. Visual acuity was measured with Snellen eye chart placed 10 feet away from the patient., At 12 months",Arman Mashayekhi,6,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-04
NCT01213082,ProspectiveTrial of Proton Beam Combined With Anti-VEGF Therapy for Exudative Age-related Macular Degeneration (AMD),https://clinicaltrials.gov/study/NCT01213082,COMPLETED,Exudative Age-related Macular Degeneration,DRUG: 24GyE proton and Anti-VEGF|DRUG: 16GyE and anti-VEGF|DRUG: Sham Irradiation and anti-VEGF,"Percent of Eyes With Severe Ocular Adverse, vision loss of 3 or more lines associated with radiation retinopathy or papillopathy, Month 24","University of California, Davis",34,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2010-09
NCT05844982,Intravitreal Faricimab Injections or Fluocinolone Acetonide (0.19 mg) Intravitreal Implants vs Observation for Prevention of VA Loss Due to Radiation Retinopathy,https://clinicaltrials.gov/study/NCT05844982,RECRUITING,Radiation Retinopathy|Visual Impairment,DRUG: Faricimab|DRUG: fluocinolone acetonide,"Change in visual acuity from baseline, Visual acuity is measured as a continuous integer letter score from 0 to 100, with higher numbers indicating better visual acuity. A letter score of 85 is approximately 20/20 and a letter score of 70 is approximately 20/40, the legal unrestricted driving limit in most states. A 5-letter change for an individual is approximately equal to a 1-line change on a vision chart., from baseline at 3 years|Loss of 15 or more letters of visual acuity from baseline, Visual acuity is measured as a continuous integer letter score from 0 to 100, with higher numbers indicating better visual acuity. A letter score of 85 is approximately 20/20 and a letter score of 70 is approximately 20/40, the legal unrestricted driving limit in most states. A 5-letter change for an individual is approximately equal to a 1-line change on a vision chart., from baseline at 3 years",Jaeb Center for Health Research,600,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2023-11-21
NCT00441662,Sub-Tenon Triamcinolone in the Prevention of Radiation-Induced Macular Edema,https://clinicaltrials.gov/study/NCT00441662,COMPLETED,Melanoma,DRUG: Sub-Tenon triamcinolone 40mg,Presence of macular edema on optical coherence tomography,Wills Eye,170,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2004-11
NCT02222610,Study of the Efficacy and Tolerability of Intravitreal Injections of Ranibizumab Compared to Intravitreal Injections of Ranibizumab Combined With Targeted Retinal Photocoagulation to Treat Radiation Retinopathy.,https://clinicaltrials.gov/study/NCT02222610,COMPLETED,Radiation Retinopathy,DRUG: 0.5 mg ranibizumab|PROCEDURE: Targeted Retinal Photocoagulation (TRP),"Mean Change in Early Treatment Diabetic Retinopathy Study (ETDRS) Visual Acuity at 104 Weeks From Day 0., Early Treatment Diabetic Retinopathy Study (ETDRS) Best-Corrected Visual Acuity (BCVA) utilizes the ETDRS visual acuity chart to measure vision in clinical trials. Standard unit of measure is the number of letters subjects are able to read on the chart., 104 weeks",Greater Houston Retina Research,40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2014-09-23
