NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT00123279,Intravitreal Microplasmin in Patients Undergoing Surgical Vitrectomy,https://clinicaltrials.gov/study/NCT00123279,COMPLETED,Vitreomacular Traction Maculopathy|Eye Diseases,DRUG: Microplasmin,"Grade of Posterior Vitreous Detachment (PVD) preoperatively and release of vitreomacular traction, Baseline, 1,2 and 3hr, 1, 3, 14, 28, 90 and 180 Days",ThromboGenics,60,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2004-12
NCT00435539,A Study to Compare Multiple Doses Intravitreal Microplasmin for Treatment of Patients With Vitreomacular Traction (MIVI-IIt),https://clinicaltrials.gov/study/NCT00435539,COMPLETED,Vitreomacular Traction,DRUG: ocriplasmin|DRUG: ocriplasmin|DRUG: Sham Comparator,"Proportion of Subjects With Total PVD at the First Day 14 Post-injection Visit (Vitreous Detachment to the Equator) as Determined by Masked Central Reading Center (CRC) Evaluation of B-scan Imaging., Day 14",ThromboGenics,60,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2007-02
NCT01162356,Prospective Retinal and Optic Nerve Vitrectomy Evaluation (PROVE) Study,https://clinicaltrials.gov/study/NCT01162356,COMPLETED,Glaucoma|Macular Pucker|Macula Hole|Vitreomacular Traction|Vitreous Opacities or Hemorrhage,,"Nerve fiber layer and macular changes after vitrectomy, To determine the incidence of nerve fiber layer (NFL) and macular changes after pars plana vitrectomy, characterize their extent and quality, and determine pre-disposing risk factors., 3 month and annually for 5 years after surgery",Vanderbilt University,45,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-07
NCT03647267,Effects of Pneumatic Vitreolysis on Vitreomacular Traction,https://clinicaltrials.gov/study/NCT03647267,COMPLETED,Vitreomacular Traction,DEVICE: Pneumatic Vitreolysis (C3F8 injection)|OTHER: Observation,"Proportion of Eyes With Central Vitreomacular Traction Release Without Rescue Vitrectomy, at 24 Weeks",Jaeb Center for Health Research,46,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-10-16
NCT05588037,Combined Vitrectomy and Femtosecond Laser-assisted Cataract Surgery,https://clinicaltrials.gov/study/NCT05588037,RECRUITING,Macular Disease|Rhegmatogenous Retinal Detachment|Epiretinal Membrane|Cataract|Vitreous Hemorrhage|Vitreomacular Traction|Vitreous Cloudy,PROCEDURE: FLACS +PPV+IOL + air|PROCEDURE: FLACS +PPV+IOL + epiretinal membrane peeling + Ozurdex|PROCEDURE: FLACS + PPV+IOL + internal limiting membrane peeling + air|PROCEDURE: FLACS + PPV+IOL,"visual acuity, final best-corrected visual acuity, Change from baseline best-corrected visual acuity at 6 months.","Aier School of Ophthalmology, Central South University",100,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2017-01-01
NCT00892619,Comparison of Two Techniques for Epiretinal or Internal Limiting Membrane Peel,https://clinicaltrials.gov/study/NCT00892619,UNKNOWN,Epiretinal Membrane|Vitreomacular Traction,PROCEDURE: using ILM forceps alone|PROCEDURE: Breaking and peeling with end-grasping forceps,"Change in visual acuity, three months",Michael E. DeBakey VA Medical Center,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: ",2008-12
NCT05860985,Zeiss RESIGHT Disposable Lenses Evaluation Study,https://clinicaltrials.gov/study/NCT05860985,RECRUITING,Retinal Detachment|Macular Pucker|Macular Holes|Vitreomacular Traction,DEVICE: ZEISS disposable,"Ultra Wide Field lens View Angle evaluation, Ultra Wide Field lens View Angle: scale from 1 (far more indentation) to 5 (far less indentation), during surgery|Ultra Wide Field lens Condensation evaluation, Ultra Wide Field lens Condensation: scale from 1 (far more condensation) to 5 (far less condensation), during surgery|Wide Angle lens Condensation evaluation, Wide Angle lens Condensation: scale from 1 (far more condensation ) to 5 (far less condensation), during surgery|Illumination appearance evaluation, Illumination intensity required during the surgery : scale from 1 (significantly higher) to 5 (significantly lower), during surgery|Color appearance evaluation, color appearance during the surgery : scale from 1 (far less natural colors) to 5 (far better natural colors ), during surgery",Universitaire Ziekenhuizen KU Leuven,120,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-04-11
NCT02011165,An Objective Evaluation of Postoperative Positioning in Macular Hole Surgery,https://clinicaltrials.gov/study/NCT02011165,COMPLETED,Macular Hole,PROCEDURE: Positioning measuring device,"Time in supine sleeping position, Two days",Helse Stavanger HF,43,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-10
NCT02035748,Assessment of Patients Treated With JETREA® for Vitreomacular Traction,https://clinicaltrials.gov/study/NCT02035748,COMPLETED,Vitreomacular Traction|Vitreomacular Adhesion,DRUG: Ocriplasmin,"Proportion of Subjects With Nonsurgical Resolution of Focal Vitreomacular Traction (VMT/VMA) at Day 28, as Determined by Central Reading Center (CRC) Spectral Domain Optical Coherence Tomography (SD-OCT) Evaluation, Vitreous separation was assessed by SD-OCT using scores ranging from 1 (vitreous attached from macula to ON; separated elsewhere cannot determine foveal) to 12 (unable to determine state of separation). Nonsurgical resolution was defined as a change from baseline score of 5/6/8 to 7/9/10 at Day 28. The assessment of resolution of VMT/sVMA was based upon the anatomical resolution of VMA only, i.e. no resolution of the related symptoms was considered. Thus, the term VMA is used interchangeably with VMT/sVMA. Proportion of subjects is presented as a percentage, with percentage based on the number of subjects who have VMT/sVMA at baseline and SD-OCT value at Day 28. One eye (study eye) contributed to the analysis., Baseline, Day 28",Alcon Research,628,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-04
NCT01889251,A Phase III Study of A01016 in Subjects With Symptomatic Vitreomacular Adhesion,https://clinicaltrials.gov/study/NCT01889251,COMPLETED,Symptomatic Vitreomacular Adhesion,DRUG: Ocriplasmin|DRUG: Sham injection,"Proportion of Subjects With Non-Surgical Resolution of Vitreomacular Adhesion (VMA), VMA (adhesion of the vitreous gel to the retina in an abnormally strong manner) was determined by masked Central Reading Center (CRC) Spectral Domain Optical Coherence Tomography (SD-OCT) evaluation. Only one eye (study eye) was analyzed. Proportion of subjects is reported as a percentage., Day 28",Alcon Research,251,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2013-07
NCT02290795,Vitreopapillary Interface and Optic Disc Morphology,https://clinicaltrials.gov/study/NCT02290795,UNKNOWN,Posterior Vitreous Detachment|Vitreomacular Traction|Glaucoma|Vitreopapillary Traction,OTHER: OCT imaging/HRT imaging,"Prevalence of VPT in glaucoma patients, Percentage of patients diagnosed with glaucoma who have Vitreopapillary traction., From inclusion up to 17 months|Change in VPT following trabeculectomy, To investigate whether the sudden decrease in intraocular pressure following trabeculectomy has a significant effect on ONH morphology (mean retinal nerve fiber layer (mRNFL) thickness, cup volume, rim thickness, cup/disc ratio) caused by change in VPT. Patients scheduled for trabeculectomy will have a baseline visit up until 8 weeks before the surgery and 4 post operative visits (day 1, week 1, 2 and 4), From inclusion up to 17 months with an average follow up of 8 weeks per subject|Change in VPT following ocriplasmin, To investigate whether the use of Ocriplasmin has a significant effect on ONH morphology (mRNFL thickness, cup volume, rim thickness, cup/disc ratio) caused by change in VPT. Patients scheduled for Ocriplasmin treatment will have a baseline visit 1 week before the surgery and 2 post operative visits (day 1, week 4), From inclusion up to 17 months with an average follow up of 8 weeks per subject",Universitaire Ziekenhuizen KU Leuven,350,OBSERVATIONAL,Observational Model: |Time Perspective: p,2014-11
NCT06038968,Methotrexate Infusion and Intrasilicone Injection During Diabetic Vitrectomy,https://clinicaltrials.gov/study/NCT06038968,RECRUITING,Diabetic Retinopathy|Vitreomacular Traction,DRUG: Methotrexate 25 MG/ML|PROCEDURE: parsplana vitrectomy,"assess retinal layers by optical coherence tomography, presence of epiretinal membrane, cystic changes in retina, central macular thickens, one month after pars plana vitrectomy and one month after silicone oil evacuation|assess functional outcomes by multifocal electroretinogram, latency and amplitude of main P wave, one month after pars plana vitrectomy and one month after silicone oil evacuation",Minia University,60,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2022-09-01
NCT02748421,Optical Coherence Tomography - Rescan During Dissection of Macular Membranes,https://clinicaltrials.gov/study/NCT02748421,UNKNOWN,Macular Hole|Epiretinal Membrane|Traction Syndrome Vitreomacular|Proliferative Vitreoretinopathy,PROCEDURE: Lumera Microscope with OCT RESCAN|PROCEDURE: Conventional Microscope,"Assess optimal maneuvers in macular membrane dissection, by a questionnaire responded by surgeons (no difficulty, some difficulty, very difficulty), Day 0 (surgical day)",Federal University of São Paulo,30,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: ",2016-05
NCT03945695,Pneumovitreolysis for Vitreomacular Traction,https://clinicaltrials.gov/study/NCT03945695,UNKNOWN,Vitreomacular Traction Syndrome,"PROCEDURE: Pneumatic Vitreolysis in combination with ""Drinking-Bird-Technique""","Resolution of VMT, Primary outcome measure is going to be resolution of vitreomacular traction as determined by OCT., Three months","University of Split, School of Medicine",44,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-11-01
NCT04300881,Treatment of Post-Ocriplasmin Therapy Vitreolysis Induced Subretinal Fluid With Eplerenone (Mineralocorticoid Antagonists),https://clinicaltrials.gov/study/NCT04300881,TERMINATED,Vitreomacular Traction|Subretinal Edema,DRUG: Eplerenone,"Changes from baseline in Central Foveal Thickness (CFT) over time, Changes as assessed via SD-OCT from the lowest CST measurement in the study, due to disease activity, through study completion, an average of 1 year",Wagner Macula & Retina Center,2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2019-10-04
NCT03677869,Effects of Pneumatic Vitreolysis on Macular Hole,https://clinicaltrials.gov/study/NCT03677869,COMPLETED,Vitreomacular Traction (VMT)|Full-thickness Macular Holes (MH),DEVICE: Intraocular gas (C3F8),"Proportion of Eyes With Macular Hole Closure of Inner Retinal Layers Without Rescue Vitrectomy, at 8 weeks",Jaeb Center for Health Research,36,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-11-14
NCT05287269,Ocular Coherence Tomography During Cataract Assessment,https://clinicaltrials.gov/study/NCT05287269,COMPLETED,Cataract Senile|Macula Hole|Epiretinal Membrane|Age Related Macular Degeneration|Vitreomacular Traction,DIAGNOSTIC_TEST: Ocular Coherence Tomography,"Incidence of occult macular pathologies in the eye referred for cataract surgery, Comparison of slitlamp biomicroscopy fundus finding with ocular coherence tomography (OCT) scan of the macula, During the cataract assessment clinic",Brighton and Sussex University Hospitals NHS Trust,626,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-11-02
NCT02322229,Ocriplasmin for Vitreomacular Traction/Symptomatic Vitreomacular Adhesion,https://clinicaltrials.gov/study/NCT02322229,COMPLETED,Vitreomacular Traction|Vitreomacular Adhesion,DRUG: Ocriplasmin 0.125 mg in a 0.1 mL volume,"Percentage of Subjects With Non-surgical Resolution of Focal VMT/sVMA at Day 28, as Determined by Central Reading Center (CRC) Spectral Domain Optical Coherence Tomography (SD-OCT) Evaluation, Vitreous separation was assessed, by SD-OCT according to CRC OCT image reading, into 1 of 12 categories, where the targeted status of VMA resolution was 7=Vitreous attached only at optic nerve (ON) or at ON and elsewhere, but not attached in macular, 9=Vitreous visible with complete separation and no attachment, and 10=No visible vitreous separation, which needed to be reached without prior vitrectomy. The assessment of resolution of VMT/sVMA was based upon the anatomical resolution of VMA only, i.e. no resolution of the related symptoms was considered. One eye (study eye) contributed to the analysis., Day 28",Alcon Research,62,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2015-05-26
